Sl No,Timestamp,Day of Week,Weekday/Weekend,Weather,Festival/Holiday,Calamities,Road Construction,Traffic Density,Time Delay (min),Vehicle Density (veh/km)
24,2025-10-01 05:45,Wednesday,Weekday,Cloudy,None,None,None,Medium,9,56
25,2025-10-01 06:00,Wednesday,Weekday,Clear,None,None,None,Medium,7,62
26,2025-10-01 06:15,Wednesday,Weekday,Clear,None,None,None,Medium,9,59
27,2025-10-01 06:30,Wednesday,Weekday,Clear,None,None,None,Medium,7,59
28,2025-10-01 06:45,Wednesday,Weekday,Clear,None,None,None,Medium,9,58
29,2025-10-01 07:00,Wednesday,Weekday,Sunny,None,None,None,Low,5,34
30,2025-10-01 07:15,Wednesday,Weekday,Light Rain,None,None,None,Medium,5,42
31,2025-10-01 07:30,Wednesday,Weekday,Cloudy,None,None,None,Medium,9,43
32,2025-10-01 07:45,Wednesday,Weekday,Clear,None,None,None,Low,4,31
33,2025-10-01 08:00,Wednesday,Weekday,Cloudy,None,None,None,High,15,82
34,2025-10-01 08:15,Wednesday,Weekday,Light Rain,None,None,None,Very High,30,180
35,2025-10-01 08:30,Wednesday,Weekday,Clear,None,None,None,High,20,103
36,2025-10-01 08:45,Wednesday,Weekday,Clear,None,None,None,Very High,44,149
37,2025-10-01 09:00,Wednesday,Weekday,Sunny,None,None,None,Very High,38,178
38,2025-10-01 09:15,Wednesday,Weekday,Cloudy,None,None,None,High,21,76
39,2025-10-01 09:30,Wednesday,Weekday,Clear,None,None,None,High,10,117
40,2025-10-01 09:45,Wednesday,Weekday,Clear,None,None,None,Very High,29,173
41,2025-10-01 10:00,Wednesday,Weekday,Sunny,None,None,None,High,15,109
42,2025-10-01 10:15,Wednesday,Weekday,Light Rain,None,None,None,High,18,119
43,2025-10-01 10:30,Wednesday,Weekday,Clear,None,None,None,Very High,41,189
44,2025-10-01 10:45,Wednesday,Weekday,Clear,None,None,None,High,15,99
45,2025-10-01 11:00,Wednesday,Weekday,Clear,None,None,None,Medium,8,54
46,2025-10-01 11:15,Wednesday,Weekday,Clear,None,None,None,Medium,9,57
47,2025-10-01 11:30,Wednesday,Weekday,Clear,None,None,None,Low,2,36
48,2025-10-01 11:45,Wednesday,Weekday,Cloudy,None,None,None,Medium,8,60
49,2025-10-01 12:00,Wednesday,Weekday,Clear,None,None,None,Low,3,31
50,2025-10-01 12:15,Wednesday,Weekday,Clear,None,None,None,Low,5,36
51,2025-10-01 12:30,Wednesday,Weekday,Clear,None,None,None,Low,3,25
52,2025-10-01 12:45,Wednesday,Weekday,Light Rain,None,None,None,Medium,5,48
53,2025-10-01 13:00,Wednesday,Weekday,Light Rain,None,None,None,Medium,6,54
54,2025-10-01 13:15,Wednesday,Weekday,Sunny,None,None,None,Medium,6,52
55,2025-10-01 13:30,Wednesday,Weekday,Clear,None,None,None,Low,2,36
56,2025-10-01 13:45,Wednesday,Weekday,Cloudy,None,None,None,Medium,9,61
57,2025-10-01 14:00,Wednesday,Weekday,Clear,None,None,None,Medium,6,70
58,2025-10-01 14:15,Wednesday,Weekday,Cloudy,None,None,None,Medium,5,64
59,2025-10-01 14:30,Wednesday,Weekday,Light Rain,None,None,None,Low,5,38
60,2025-10-01 14:45,Wednesday,Weekday,Clear,None,None,None,Low,0,22
61,2025-10-01 15:00,Wednesday,Weekday,Sunny,None,None,None,Medium,9,63
62,2025-10-01 15:15,Wednesday,Weekday,Cloudy,None,None,None,Low,1,39
63,2025-10-01 15:30,Wednesday,Weekday,Cloudy,None,None,None,Low,0,30
64,2025-10-01 15:45,Wednesday,Weekday,Light Rain,None,None,None,Medium,7,58
65,2025-10-01 16:00,Wednesday,Weekday,Light Rain,None,None,None,Medium,5,61
66,2025-10-01 16:15,Wednesday,Weekday,Cloudy,None,None,None,Low,4,23
67,2025-10-01 16:30,Wednesday,Weekday,Light Rain,None,None,None,Low,5,35
68,2025-10-01 16:45,Wednesday,Weekday,Cloudy,None,None,None,Low,0,23
69,2025-10-01 17:00,Wednesday,Weekday,Sunny,None,None,None,Very High,30,198
70,2025-10-01 17:15,Wednesday,Weekday,Clear,None,None,None,Very High,37,145
71,2025-10-01 17:30,Wednesday,Weekday,Rainy,None,None,None,Very High,39,192
72,2025-10-01 17:45,Wednesday,Weekday,Clear,None,None,None,High,14,78
73,2025-10-01 18:00,Wednesday,Weekday,Cloudy,None,None,None,High,12,91
74,2025-10-01 18:15,Wednesday,Weekday,Light Rain,None,None,None,Very High,44,133
75,2025-10-01 18:30,Wednesday,Weekday,Rainy,None,None,None,Very High,33,171
76,2025-10-01 18:45,Wednesday,Weekday,Light Rain,None,None,None,Very High,25,151
77,2025-10-01 19:00,Wednesday,Weekday,Sunny,None,None,None,Very High,43,188
78,2025-10-01 19:15,Wednesday,Weekday,Cloudy,None,None,None,High,17,84
79,2025-10-01 19:30,Wednesday,Weekday,Cloudy,None,None,None,High,24,107
80,2025-10-01 19:45,Wednesday,Weekday,Light Rain,None,None,None,Very High,34,168
81,2025-10-01 20:00,Wednesday,Weekday,Rainy,None,None,None,Very High,30,151
82,2025-10-01 20:15,Wednesday,Weekday,Cloudy,None,None,None,Very High,41,198
83,2025-10-01 20:30,Wednesday,Weekday,Clear,None,None,None,Very High,37,197
84,2025-10-01 20:45,Wednesday,Weekday,Light Rain,None,None,None,Very High,41,195
85,2025-10-01 21:00,Wednesday,Weekday,Clear,None,None,None,Low,4,40
86,2025-10-01 21:15,Wednesday,Weekday,Rainy,None,None,None,Low,0,38
87,2025-10-01 21:30,Wednesday,Weekday,Clear,None,None,None,Medium,5,62
88,2025-10-01 21:45,Wednesday,Weekday,Light Rain,None,None,None,Medium,7,51
89,2025-10-01 22:00,Wednesday,Weekday,Cloudy,None,None,None,Low,4,35
90,2025-10-01 22:15,Wednesday,Weekday,Cloudy,None,None,None,Medium,6,61
91,2025-10-01 22:30,Wednesday,Weekday,Clear,None,None,None,Low,5,40
92,2025-10-01 22:45,Wednesday,Weekday,Clear,None,None,None,Low,1,37
93,2025-10-01 23:00,Wednesday,Weekday,Rainy,None,None,None,Low,1,25
94,2025-10-01 23:15,Wednesday,Weekday,Clear,None,None,None,Low,0,32
95,2025-10-01 23:30,Wednesday,Weekday,Cloudy,None,None,None,Low,0,39
96,2025-10-01 23:45,Wednesday,Weekday,Clear,None,None,None,Medium,5,65
97,2025-10-02 00:00,Thursday,Weekday,Cloudy,None,None,None,Low,0,38
98,2025-10-02 00:15,Thursday,Weekday,Clear,None,None,None,Low,3,31
99,2025-10-02 00:30,Thursday,Weekday,Clear,None,None,None,Low,0,25
100,2025-10-02 00:45,Thursday,Weekday,Light Rain,None,None,None,Medium,7,59
101,2025-10-02 01:00,Thursday,Weekday,Clear,None,None,None,Medium,9,67
102,2025-10-02 01:15,Thursday,Weekday,Clear,None,None,None,Medium,9,43
103,2025-10-02 01:30,Thursday,Weekday,Cloudy,None,None,None,Low,0,30
104,2025-10-02 01:45,Thursday,Weekday,Sunny,None,None,None,Medium,7,53
105,2025-10-02 02:00,Thursday,Weekday,Clear,None,None,None,Low,5,38
106,2025-10-02 02:15,Thursday,Weekday,Sunny,None,None,None,Medium,7,69
107,2025-10-02 02:30,Thursday,Weekday,Clear,None,None,None,Low,4,39
108,2025-10-02 02:45,Thursday,Weekday,Cloudy,None,None,None,Low,4,39
109,2025-10-02 03:00,Thursday,Weekday,Clear,None,None,None,Low,2,20
110,2025-10-02 03:15,Thursday,Weekday,Sunny,None,None,None,Low,4,23
111,2025-10-02 03:30,Thursday,Weekday,Light Rain,None,None,None,Medium,9,67
112,2025-10-02 03:45,Thursday,Weekday,Cloudy,None,None,None,Medium,7,56
113,2025-10-02 04:00,Thursday,Weekday,Rainy,None,None,None,Medium,5,68
114,2025-10-02 04:15,Thursday,Weekday,Clear,None,None,None,Low,1,23
115,2025-10-02 04:30,Thursday,Weekday,Clear,None,None,None,Medium,7,55
116,2025-10-02 04:45,Thursday,Weekday,Clear,None,None,None,Low,3,34
117,2025-10-02 05:00,Thursday,Weekday,Clear,None,None,None,Medium,7,56
118,2025-10-02 05:15,Thursday,Weekday,Cloudy,None,None,None,Low,3,22
119,2025-10-02 05:30,Thursday,Weekday,Clear,None,None,None,Medium,9,40
120,2025-10-02 05:45,Thursday,Weekday,Clear,None,None,None,Low,4,35
121,2025-10-02 06:00,Thursday,Weekday,Cloudy,None,None,None,Low,4,20
122,2025-10-02 06:15,Thursday,Weekday,Cloudy,None,None,None,Medium,8,40
123,2025-10-02 06:30,Thursday,Weekday,Rainy,None,None,None,Medium,8,68
124,2025-10-02 06:45,Thursday,Weekday,Rainy,None,None,None,Low,4,31
125,2025-10-02 07:00,Thursday,Weekday,Clear,None,None,None,Medium,9,41
126,2025-10-02 07:15,Thursday,Weekday,Clear,None,None,None,Medium,5,54
127,2025-10-02 07:30,Thursday,Weekday,Light Rain,None,None,None,Medium,5,42
128,2025-10-02 07:45,Thursday,Weekday,Light Rain,None,None,None,Low,3,24
129,2025-10-02 08:00,Thursday,Weekday,Clear,None,None,None,High,25,96
130,2025-10-02 08:15,Thursday,Weekday,Cloudy,None,None,None,Very High,44,150
131,2025-10-02 08:30,Thursday,Weekday,Cloudy,None,None,None,High,13,92
132,2025-10-02 08:45,Thursday,Weekday,Sunny,None,None,None,Very High,25,181
133,2025-10-02 09:00,Thursday,Weekday,Clear,None,None,None,Very High,25,200
134,2025-10-02 09:15,Thursday,Weekday,Cloudy,None,None,None,High,17,90
135,2025-10-02 09:30,Thursday,Weekday,Cloudy,None,None,None,High,13,118
136,2025-10-02 09:45,Thursday,Weekday,Clear,None,None,None,High,15,89
137,2025-10-02 10:00,Thursday,Weekday,Rainy,None,None,None,Very High,32,177
138,2025-10-02 10:15,Thursday,Weekday,Clear,None,None,None,Very High,38,141
139,2025-10-02 10:30,Thursday,Weekday,Sunny,None,None,None,High,23,72
140,2025-10-02 10:45,Thursday,Weekday,Light Rain,None,None,None,Very High,25,141
141,2025-10-02 11:00,Thursday,Weekday,Rainy,None,None,None,Medium,7,47
142,2025-10-02 11:15,Thursday,Weekday,Light Rain,None,None,None,Medium,6,52
143,2025-10-02 11:30,Thursday,Weekday,Light Rain,None,None,None,Low,4,37
144,2025-10-02 11:45,Thursday,Weekday,Cloudy,None,None,None,Low,1,20
145,2025-10-02 12:00,Thursday,Weekday,Rainy,None,None,None,Low,3,26
146,2025-10-02 12:15,Thursday,Weekday,Cloudy,None,None,None,Low,1,32
147,2025-10-02 12:30,Thursday,Weekday,Cloudy,None,None,None,Low,1,23
148,2025-10-02 12:45,Thursday,Weekday,Cloudy,None,None,None,Medium,5,68
149,2025-10-02 13:00,Thursday,Weekday,Cloudy,None,None,None,Low,0,30
150,2025-10-02 13:15,Thursday,Weekday,Clear,None,None,None,Low,1,27
151,2025-10-02 13:30,Thursday,Weekday,Clear,None,None,None,Medium,8,59
152,2025-10-02 13:45,Thursday,Weekday,Cloudy,None,None,None,Medium,10,58
153,2025-10-02 14:00,Thursday,Weekday,Light Rain,None,None,None,Low,3,28
154,2025-10-02 14:15,Thursday,Weekday,Clear,None,None,None,Low,0,37
155,2025-10-02 14:30,Thursday,Weekday,Clear,None,None,None,Low,0,20
156,2025-10-02 14:45,Thursday,Weekday,Light Rain,None,None,None,Medium,6,44
157,2025-10-02 15:00,Thursday,Weekday,Light Rain,None,None,None,Low,5,21
158,2025-10-02 15:15,Thursday,Weekday,Clear,None,None,None,Low,3,26
159,2025-10-02 15:30,Thursday,Weekday,Rainy,None,None,None,Medium,7,43
160,2025-10-02 15:45,Thursday,Weekday,Light Rain,None,None,None,Medium,10,56
161,2025-10-02 16:00,Thursday,Weekday,Light Rain,None,None,None,Medium,6,59
162,2025-10-02 16:15,Thursday,Weekday,Cloudy,None,None,None,Low,2,37
163,2025-10-02 16:30,Thursday,Weekday,Rainy,None,None,None,Medium,10,51
164,2025-10-02 16:45,Thursday,Weekday,Clear,None,None,None,Medium,9,58
165,2025-10-02 17:00,Thursday,Weekday,Light Rain,None,None,None,Very High,26,195
166,2025-10-02 17:15,Thursday,Weekday,Cloudy,None,None,None,High,24,108
167,2025-10-02 17:30,Thursday,Weekday,Rainy,None,None,None,High,25,102
168,2025-10-02 17:45,Thursday,Weekday,Clear,None,None,None,Very High,44,156
169,2025-10-02 18:00,Thursday,Weekday,Clear,None,None,None,Very High,30,134
170,2025-10-02 18:15,Thursday,Weekday,Clear,None,None,None,High,16,76
171,2025-10-02 18:30,Thursday,Weekday,Clear,None,None,None,Very High,29,136
172,2025-10-02 18:45,Thursday,Weekday,Light Rain,None,None,None,High,11,71
173,2025-10-02 19:00,Thursday,Weekday,Clear,None,None,None,High,12,94
174,2025-10-02 19:15,Thursday,Weekday,Light Rain,None,None,None,High,10,70
175,2025-10-02 19:30,Thursday,Weekday,Light Rain,None,None,None,Very High,43,125
176,2025-10-02 19:45,Thursday,Weekday,Clear,None,None,None,High,15,80
177,2025-10-02 20:00,Thursday,Weekday,Clear,None,None,None,Very High,35,137
178,2025-10-02 20:15,Thursday,Weekday,Cloudy,None,None,None,High,18,111
179,2025-10-02 20:30,Thursday,Weekday,Clear,None,None,None,High,12,73
180,2025-10-02 20:45,Thursday,Weekday,Clear,None,None,None,High,11,101
181,2025-10-02 21:00,Thursday,Weekday,Clear,None,None,None,Low,0,36
182,2025-10-02 21:15,Thursday,Weekday,Light Rain,None,None,None,Low,0,30
183,2025-10-02 21:30,Thursday,Weekday,Cloudy,None,None,None,Medium,6,56
184,2025-10-02 21:45,Thursday,Weekday,Cloudy,None,None,None,Medium,8,40
185,2025-10-02 22:00,Thursday,Weekday,Clear,None,None,None,Medium,9,57
186,2025-10-02 22:15,Thursday,Weekday,Clear,None,None,None,Medium,9,50
187,2025-10-02 22:30,Thursday,Weekday,Clear,None,None,None,Medium,5,70
188,2025-10-02 22:45,Thursday,Weekday,Clear,None,None,None,Low,2,25
189,2025-10-02 23:00,Thursday,Weekday,Clear,None,None,None,Medium,7,70
190,2025-10-02 23:15,Thursday,Weekday,Light Rain,None,None,None,Medium,9,62
191,2025-10-02 23:30,Thursday,Weekday,Sunny,None,None,None,Medium,7,59
192,2025-10-02 23:45,Thursday,Weekday,Cloudy,None,None,None,Low,4,29
193,2025-10-03 00:00,Friday,Weekday,Clear,None,None,None,Low,2,36
194,2025-10-03 00:15,Friday,Weekday,Clear,None,None,None,Medium,5,44
195,2025-10-03 00:30,Friday,Weekday,Cloudy,None,None,None,Low,5,21
196,2025-10-03 00:45,Friday,Weekday,Clear,None,None,None,Medium,10,42
197,2025-10-03 01:00,Friday,Weekday,Rainy,None,None,None,Medium,6,43
198,2025-10-03 01:15,Friday,Weekday,Sunny,None,None,None,Medium,7,52
199,2025-10-03 01:30,Friday,Weekday,Cloudy,None,None,None,Low,1,21
200,2025-10-03 01:45,Friday,Weekday,Light Rain,None,None,None,Low,2,37
201,2025-10-03 02:00,Friday,Weekday,Clear,None,None,None,Low,3,33
202,2025-10-03 02:15,Friday,Weekday,Clear,None,None,None,Medium,7,62
203,2025-10-03 02:30,Friday,Weekday,Light Rain,None,None,None,Low,4,30
204,2025-10-03 02:45,Friday,Weekday,Clear,None,None,None,Medium,7,69
205,2025-10-03 03:00,Friday,Weekday,Clear,None,None,None,Low,5,35
206,2025-10-03 03:15,Friday,Weekday,Clear,None,None,None,Medium,5,49
207,2025-10-03 03:30,Friday,Weekday,Clear,None,None,None,Low,2,37
208,2025-10-03 03:45,Friday,Weekday,Cloudy,None,None,None,Medium,9,48
209,2025-10-03 04:00,Friday,Weekday,Rainy,None,None,None,Medium,7,47
210,2025-10-03 04:15,Friday,Weekday,Clear,None,None,None,Low,3,34
211,2025-10-03 04:30,Friday,Weekday,Clear,None,None,None,Medium,8,51
212,2025-10-03 04:45,Friday,Weekday,Clear,None,None,None,Low,5,39
213,2025-10-03 05:00,Friday,Weekday,Clear,None,None,None,Medium,7,52
214,2025-10-03 05:15,Friday,Weekday,Rainy,None,None,None,Low,3,28
215,2025-10-03 05:30,Friday,Weekday,Cloudy,None,None,None,Medium,7,70
216,2025-10-03 05:45,Friday,Weekday,Sunny,None,None,None,Low,2,27
217,2025-10-03 06:00,Friday,Weekday,Clear,None,None,None,Low,3,37
218,2025-10-03 06:15,Friday,Weekday,Rainy,None,None,None,Medium,6,43
219,2025-10-03 06:30,Friday,Weekday,Rainy,None,None,None,Medium,6,67
220,2025-10-03 06:45,Friday,Weekday,Light Rain,None,None,None,Medium,8,50
221,2025-10-03 07:00,Friday,Weekday,Clear,None,None,None,Low,3,23
222,2025-10-03 07:15,Friday,Weekday,Clear,None,None,None,Low,4,34
223,2025-10-03 07:30,Friday,Weekday,Clear,None,None,None,Medium,9,67
224,2025-10-03 07:45,Friday,Weekday,Clear,None,None,None,Low,3,30
225,2025-10-03 08:00,Friday,Weekday,Light Rain,None,None,None,High,20,71
226,2025-10-03 08:15,Friday,Weekday,Clear,None,None,None,Very High,27,139
227,2025-10-03 08:30,Friday,Weekday,Light Rain,None,None,None,Very High,31,154
228,2025-10-03 08:45,Friday,Weekday,Rainy,None,None,None,High,13,76
229,2025-10-03 09:00,Friday,Weekday,Clear,None,None,None,Very High,41,146
230,2025-10-03 09:15,Friday,Weekday,Cloudy,None,None,None,Very High,43,179
231,2025-10-03 09:30,Friday,Weekday,Clear,None,None,None,High,16,95
232,2025-10-03 09:45,Friday,Weekday,Cloudy,None,None,None,High,23,90
233,2025-10-03 10:00,Friday,Weekday,Cloudy,None,None,None,Very High,26,151
234,2025-10-03 10:15,Friday,Weekday,Sunny,None,None,None,High,13,99
235,2025-10-03 10:30,Friday,Weekday,Cloudy,None,None,None,High,19,89
236,2025-10-03 10:45,Friday,Weekday,Light Rain,None,None,None,High,21,119
237,2025-10-03 11:00,Friday,Weekday,Clear,None,None,None,Medium,9,60
238,2025-10-03 11:15,Friday,Weekday,Clear,None,None,None,Low,2,37
239,2025-10-03 11:30,Friday,Weekday,Rainy,None,None,None,Medium,10,69
240,2025-10-03 11:45,Friday,Weekday,Clear,None,None,None,Low,4,23
241,2025-10-03 12:00,Friday,Weekday,Light Rain,None,None,None,Low,5,25
242,2025-10-03 12:15,Friday,Weekday,Light Rain,None,None,None,Low,3,35
243,2025-10-03 12:30,Friday,Weekday,Clear,None,None,None,Medium,10,63
244,2025-10-03 12:45,Friday,Weekday,Light Rain,None,None,None,Medium,7,43
245,2025-10-03 13:00,Friday,Weekday,Cloudy,None,None,None,Medium,10,64
246,2025-10-03 13:15,Friday,Weekday,Light Rain,None,None,None,Low,4,38
247,2025-10-03 13:30,Friday,Weekday,Clear,None,None,None,Low,0,34
248,2025-10-03 13:45,Friday,Weekday,Cloudy,None,None,None,Medium,7,59
249,2025-10-03 14:00,Friday,Weekday,Rainy,None,None,None,Medium,5,44
250,2025-10-03 14:15,Friday,Weekday,Clear,None,None,None,Medium,10,51
251,2025-10-03 14:30,Friday,Weekday,Rainy,None,None,None,Medium,5,43
252,2025-10-03 14:45,Friday,Weekday,Light Rain,None,None,None,Low,0,25
253,2025-10-03 15:00,Friday,Weekday,Cloudy,None,None,None,Medium,10,70
254,2025-10-03 15:15,Friday,Weekday,Clear,None,None,None,Medium,9,63
255,2025-10-03 15:30,Friday,Weekday,Sunny,None,None,None,Medium,6,65
256,2025-10-03 15:45,Friday,Weekday,Rainy,None,None,None,Low,5,23
257,2025-10-03 16:00,Friday,Weekday,Sunny,None,None,None,Low,0,34
258,2025-10-03 16:15,Friday,Weekday,Clear,None,None,None,Low,2,31
259,2025-10-03 16:30,Friday,Weekday,Sunny,None,None,None,Medium,6,44
260,2025-10-03 16:45,Friday,Weekday,Light Rain,None,None,None,Medium,7,70
261,2025-10-03 17:00,Friday,Weekday,Cloudy,None,None,None,High,25,107
262,2025-10-03 17:15,Friday,Weekday,Rainy,None,None,None,High,16,95
263,2025-10-03 17:30,Friday,Weekday,Clear,None,None,None,High,20,113
264,2025-10-03 17:45,Friday,Weekday,Light Rain,None,None,None,Very High,40,168
265,2025-10-03 18:00,Friday,Weekday,Clear,None,None,None,High,15,80
266,2025-10-03 18:15,Friday,Weekday,Clear,None,None,None,Very High,33,143
267,2025-10-03 18:30,Friday,Weekday,Light Rain,None,None,None,High,25,79
268,2025-10-03 18:45,Friday,Weekday,Sunny,None,None,None,High,15,86
269,2025-10-03 19:00,Friday,Weekday,Cloudy,None,None,None,High,19,113
270,2025-10-03 19:15,Friday,Weekday,Clear,None,None,None,High,12,109
271,2025-10-03 19:30,Friday,Weekday,Cloudy,None,None,None,High,11,74
272,2025-10-03 19:45,Friday,Weekday,Light Rain,None,None,None,Very High,38,184
273,2025-10-03 20:00,Friday,Weekday,Sunny,None,None,None,Very High,42,122
274,2025-10-03 20:15,Friday,Weekday,Light Rain,None,None,None,Very High,40,129
275,2025-10-03 20:30,Friday,Weekday,Rainy,None,None,None,Very High,43,166
276,2025-10-03 20:45,Friday,Weekday,Clear,None,None,None,High,23,81
277,2025-10-03 21:00,Friday,Weekday,Clear,None,None,None,Low,2,32
278,2025-10-03 21:15,Friday,Weekday,Clear,None,None,None,Medium,10,70
279,2025-10-03 21:30,Friday,Weekday,Clear,None,None,None,Medium,5,55
280,2025-10-03 21:45,Friday,Weekday,Cloudy,None,None,None,Medium,9,61
281,2025-10-03 22:00,Friday,Weekday,Rainy,None,None,None,Medium,8,67
282,2025-10-03 22:15,Friday,Weekday,Rainy,None,None,None,Low,4,22
283,2025-10-03 22:30,Friday,Weekday,Rainy,None,None,None,Low,0,25
284,2025-10-03 22:45,Friday,Weekday,Cloudy,None,None,None,Medium,6,64
285,2025-10-03 23:00,Friday,Weekday,Clear,None,None,None,Medium,7,46
286,2025-10-03 23:15,Friday,Weekday,Cloudy,None,None,None,Medium,7,43
287,2025-10-03 23:30,Friday,Weekday,Clear,None,None,None,Medium,10,64
288,2025-10-03 23:45,Friday,Weekday,Light Rain,None,None,None,Low,0,27
289,2025-10-04 00:00,Saturday,Weekend,Sunny,None,None,None,Low,1,22
290,2025-10-04 00:15,Saturday,Weekend,Rainy,None,None,None,Medium,8,63
291,2025-10-04 00:30,Saturday,Weekend,Light Rain,None,None,None,Low,5,30
292,2025-10-04 00:45,Saturday,Weekend,Clear,None,None,None,Medium,10,60
293,2025-10-04 01:00,Saturday,Weekend,Clear,None,None,None,Medium,8,43
294,2025-10-04 01:15,Saturday,Weekend,Rainy,None,None,None,Medium,10,40
295,2025-10-04 01:30,Saturday,Weekend,Clear,None,None,None,Low,2,32
296,2025-10-04 01:45,Saturday,Weekend,Light Rain,None,None,None,Medium,7,58
297,2025-10-04 02:00,Saturday,Weekend,Clear,None,None,None,Medium,8,59
298,2025-10-04 02:15,Saturday,Weekend,Clear,None,None,None,Medium,7,55
299,2025-10-04 02:30,Saturday,Weekend,Clear,None,None,None,Low,2,31
300,2025-10-04 02:45,Saturday,Weekend,Cloudy,None,None,None,Low,4,31
301,2025-10-04 03:00,Saturday,Weekend,Cloudy,None,None,None,Medium,7,54
302,2025-10-04 03:15,Saturday,Weekend,Clear,None,None,None,Low,5,37
303,2025-10-04 03:30,Saturday,Weekend,Clear,None,None,None,Low,3,36
304,2025-10-04 03:45,Saturday,Weekend,Cloudy,None,None,None,Medium,10,49
305,2025-10-04 04:00,Saturday,Weekend,Clear,None,None,None,Medium,6,47
306,2025-10-04 04:15,Saturday,Weekend,Light Rain,None,None,None,Low,5,21
307,2025-10-04 04:30,Saturday,Weekend,Cloudy,None,None,None,Medium,6,50
308,2025-10-04 04:45,Saturday,Weekend,Cloudy,None,None,None,Medium,6,50
309,2025-10-04 05:00,Saturday,Weekend,Cloudy,None,None,None,Medium,9,49
310,2025-10-04 05:15,Saturday,Weekend,Light Rain,None,None,None,Low,0,26
311,2025-10-04 05:30,Saturday,Weekend,Clear,None,None,None,Medium,6,68
312,2025-10-04 05:45,Saturday,Weekend,Clear,None,None,None,Medium,7,64
313,2025-10-04 06:00,Saturday,Weekend,Clear,None,None,None,Medium,7,45
314,2025-10-04 06:15,Saturday,Weekend,Clear,None,None,None,Medium,7,69
315,2025-10-04 06:30,Saturday,Weekend,Clear,None,None,None,Low,5,34
316,2025-10-04 06:45,Saturday,Weekend,Rainy,None,None,None,Low,4,21
317,2025-10-04 07:00,Saturday,Weekend,Clear,None,None,None,Low,0,29
318,2025-10-04 07:15,Saturday,Weekend,Sunny,None,None,None,Low,0,28
319,2025-10-04 07:30,Saturday,Weekend,Cloudy,None,None,None,Medium,10,51
320,2025-10-04 07:45,Saturday,Weekend,Clear,None,None,None,Medium,8,54
321,2025-10-04 08:00,Saturday,Weekend,Clear,None,None,None,Medium,9,43
322,2025-10-04 08:15,Saturday,Weekend,Clear,None,None,None,Low,0,39
323,2025-10-04 08:30,Saturday,Weekend,Clear,None,None,None,Low,1,32
324,2025-10-04 08:45,Saturday,Weekend,Clear,None,None,None,Low,1,31
325,2025-10-04 09:00,Saturday,Weekend,Sunny,None,None,None,Low,0,35
326,2025-10-04 09:15,Saturday,Weekend,Light Rain,None,None,None,Low,5,40
327,2025-10-04 09:30,Saturday,Weekend,Cloudy,None,None,None,Low,2,24
328,2025-10-04 09:45,Saturday,Weekend,Clear,None,None,None,Low,1,25
329,2025-10-04 10:00,Saturday,Weekend,Clear,None,None,None,High,23,73
330,2025-10-04 10:15,Saturday,Weekend,Cloudy,None,None,None,Medium,8,50
331,2025-10-04 10:30,Saturday,Weekend,Light Rain,None,None,None,High,14,101
332,2025-10-04 10:45,Saturday,Weekend,Clear,None,None,None,High,22,94
333,2025-10-04 11:00,Saturday,Weekend,Sunny,None,None,None,High,20,113
334,2025-10-04 11:15,Saturday,Weekend,Clear,None,None,None,Medium,5,56
